category,time,layer,mean,sd,se,ci95,N_eff
Mastication,2017-07-01,2017,19.770772333784574,9.0030832216123855,0.1495465490458835,0.2931112361299316,3624.3467248589373
Mastication,2018-07-01,2018,19.635396814173852,8.288669485157396,0.13767971340213997,0.2698522382681943,3624.3467248589373
Mastication,2019-07-01,2019,15.822177771327835,8.245287346100351,0.13695911035688146,0.2684398562994877,3624.3467248589373
Mastication,2020-07-01,2020,14.811417726414186,8.476677702866105,0.14080264134343798,0.27597317703313845,3624.3467248589373
Mastication,2021-07-01,2021,16.237419879582145,7.966246069455762,0.13232406934522206,0.25935517591663526,3624.3467248589373
Mastication,2022-07-01,2022,14.296970555033436,7.217761576445911,0.11989129823906601,0.2349869445485694,3624.3467248589373
Mastication,2023-07-01,2023,11.908645678331776,7.599447139087231,0.12623132168532525,0.2474133905032375,3624.3467248589373
Mastication,2024-07-01,2024,13.735069969299172,6.991644807438522,0.11613536467118724,0.22762531475552697,3624.3467248589373
Seeding,1985-07-01,1985,13.905923618674297,5.502962187868662,0.09625626529891208,0.18866227998586768,3268.39880397358
Seeding,1986-07-01,1986,13.326883181562417,6.380298190809204,0.11160237965919259,0.21874066413201748,3268.39880397358
Seeding,1987-07-01,1987,13.939602936908207,6.496655870041394,0.11363767542524933,0.22272984383348868,3268.39880397358
Seeding,1988-07-01,1988,14.824437463320704,6.390922161625898,0.11178821116566995,0.2191048938847131,3268.39880397358
Seeding,1989-07-01,1989,15.024105159253098,6.6151459107724255,0.11571026985830365,0.22679212892227515,3268.39880397358
Seeding,1990-07-01,1990,14.727901532742937,6.7950460662724455,0.118857032729635,0.23295978415008461,3268.39880397358
Seeding,1991-07-01,1991,13.709240512673423,6.692887751183062,0.11707010824350801,0.2294574121572757,3268.39880397358
Seeding,1992-07-01,1992,12.17831529953965,6.087868565089154,0.10648728297606007,0.20871507463307773,3268.39880397358
Seeding,1993-07-01,1993,12.34438208325206,6.28505833831815,0.10993647097302756,0.215475483107134,3268.39880397358
